m_id,persona_id,vendor_id,sm_score_partic_2,user_id
6,1,44,2.51,1
6,2,44,1.92,1
6,3,44,2.55,1
6,4,44,1.93,1
6,5,44,2.07,1
4,1,27,2.71,1
4,2,27,2.09,1
4,3,27,2.69,1
4,4,27,2.44,1
4,5,27,2.41,1
4,6,27,2.69,1
5,1,27,2.46,1
5,2,27,2.17,1
5,3,27,2.35,1
5,4,27,2.21,1
5,5,27,2.41,1
6,1,27,2.61,1
6,2,27,2.27,1
6,3,27,2.34,1
6,4,27,2.3,1
6,5,27,2.34,1
7,2,27,2.31,1
7,3,27,2.16,1
7,4,27,2.3,1
7,5,27,2.21,1
8,1,27,2.52,1
8,2,27,2.32,1
8,3,27,2.43,1
8,4,27,2.37,1
8,5,27,2.45,1
5,1,9,2.47,1
5,2,9,1.44,1
5,3,9,1.9,1
5,4,9,1.73,1
5,5,9,1.82,1
6,1,9,1.38,1
7,2,9,2.31,1
7,3,9,2.08,1
7,4,9,2.07,1
7,5,9,2.13,1
8,1,9,2.12,1
4,1,23,2.35,1
4,2,23,1.69,1
4,3,23,2.25,1
4,4,23,1.93,1
4,5,23,1.98,1
4,6,23,2.38,1
5,1,23,2.19,1
5,2,23,1.8,1
5,3,23,1.95,1
5,4,23,1.83,1
5,5,23,1.98,1
6,1,23,2.28,1
6,2,23,1.8,1
6,3,23,2.02,1
6,4,23,1.84,1
6,5,23,1.92,1
7,2,23,2.12,1
7,3,23,2.19,1
7,4,23,2.2,1
7,5,23,2.42,1
8,1,23,2.22,1
8,2,23,1.92,1
8,3,23,2.1,1
8,4,23,1.97,1
8,5,23,2.09,1
1,1,23,2.66,1
1,2,23,2.15,1
1,3,23,2.32,1
1,4,23,2.27,1
1,5,23,2.38,1
4,1,29,2.6,1
4,2,29,1.13,1
4,3,29,1.41,1
4,4,29,1.28,1
4,5,29,1.19,1
4,6,29,2.63,1
4,1,12,2.32,1
4,2,12,1.73,1
4,3,12,2.3,1
4,4,12,2.03,1
4,5,12,2.07,1
4,6,12,1.76,1
5,1,12,2.09,1
5,2,12,1.63,1
5,3,12,1.79,1
5,4,12,1.6,1
5,5,12,1.81,1
6,1,12,2.58,1
6,2,12,2.33,1
6,3,12,2.6,1
6,4,12,2.34,1
6,5,12,2.31,1
7,2,12,2.35,1
7,3,12,2.2,1
7,4,12,2.29,1
7,5,12,2.45,1
8,1,12,2.29,1
8,2,12,2.05,1
8,3,12,2.19,1
8,4,12,2.15,1
8,5,12,2.19,1
9,1,12,2.28,1
9,2,12,2.1,1
9,3,12,2.21,1
9,4,12,2.21,1
9,5,12,2.19,1
4,1,32,2.26,1
4,2,32,1.04,1
4,3,32,1.3,1
4,4,32,1.25,1
4,5,32,1.21,1
4,6,32,1.07,1
6,1,48,2.48,1
6,2,48,1.71,1
6,3,48,2.37,1
6,4,48,1.7,1
6,5,48,1.76,1
